,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-09-01,285.597067178371,255.0920438923675,317.9292964882277,285.597067178371,285.597067178371,0.891942042504058,0.891942042504058,0.891942042504058,0.891942042504058,0.891942042504058,0.891942042504058,0.0,0.0,0.0,286.48900922087506
1,2022-09-02,284.38708357376873,253.07871044485879,317.4317283388224,284.38708357376873,284.38708357376873,1.804762468689305,1.804762468689305,1.804762468689305,1.804762468689305,1.804762468689305,1.804762468689305,0.0,0.0,0.0,286.19184604245805
2,2022-09-06,279.5471491553599,250.83160952815507,312.82735379734805,279.5471491553599,279.5471491553599,1.5820002578928174,1.5820002578928174,1.5820002578928174,1.5820002578928174,1.5820002578928174,1.5820002578928174,0.0,0.0,0.0,281.1291494132527
3,2022-09-07,278.3371655507576,250.07413819246042,311.65572913874655,278.3371655507576,278.3371655507576,1.9873178663995903,1.9873178663995903,1.9873178663995903,1.9873178663995903,1.9873178663995903,1.9873178663995903,0.0,0.0,0.0,280.3244834171572
4,2022-09-08,277.1271819461554,245.39726218158032,310.3188195304529,277.1271819461554,277.1271819461554,0.8919420424989414,0.8919420424989414,0.8919420424989414,0.8919420424989414,0.8919420424989414,0.8919420424989414,0.0,0.0,0.0,278.01912398865437
5,2022-09-09,275.9171983415532,245.26569608809933,309.76163525393696,275.9171983415532,275.9171983415532,1.80476246867528,1.80476246867528,1.80476246867528,1.80476246867528,1.80476246867528,1.80476246867528,0.0,0.0,0.0,277.7219608102285
6,2022-09-12,272.2872475277465,242.78802711611627,308.04212383817514,272.2872475277465,272.2872475277465,3.035293495587677,3.035293495587677,3.035293495587677,3.035293495587677,3.035293495587677,3.035293495587677,0.0,0.0,0.0,275.32254102333417
7,2022-09-13,271.07726392314424,240.2887603287415,302.3562883057829,271.07726392314424,271.07726392314424,1.5820002578934291,1.5820002578934291,1.5820002578934291,1.5820002578934291,1.5820002578934291,1.5820002578934291,0.0,0.0,0.0,272.65926418103766
8,2022-09-14,269.86728031854204,240.3708281588204,303.5632263526029,269.86728031854204,269.86728031854204,1.9873178664023698,1.9873178664023698,1.9873178664023698,1.9873178664023698,1.9873178664023698,1.9873178664023698,0.0,0.0,0.0,271.8545981849444
9,2022-09-15,268.6572967068194,235.0136523918593,302.3423537681209,268.6572967068194,268.6572967068194,0.891942042501637,0.891942042501637,0.891942042501637,0.891942042501637,0.891942042501637,0.891942042501637,0.0,0.0,0.0,269.54923874932103
10,2022-09-16,267.4473130950967,239.1431624624775,300.78222439866096,267.4473130950967,267.4473130950967,1.8047624686787245,1.8047624686787245,1.8047624686787245,1.8047624686787245,1.8047624686787245,1.8047624686787245,0.0,0.0,0.0,269.25207556377546
11,2022-09-19,263.81736225992876,232.95983115101774,298.9245164292766,263.81736225992876,263.81736225992876,3.0352934955733084,3.0352934955733084,3.0352934955733084,3.0352934955733084,3.0352934955733084,3.0352934955733084,0.0,0.0,0.0,266.85265575550204
12,2022-09-20,262.6073786482061,230.7001284746229,295.3568418723588,262.6073786482061,262.6073786482061,1.5820002578877839,1.5820002578877839,1.5820002578877839,1.5820002578877839,1.5820002578877839,1.5820002578877839,0.0,0.0,0.0,264.1893789060939
13,2022-09-21,261.39739503648343,233.33509701784826,297.00167673652317,261.39739503648343,261.39739503648343,1.9873178664016755,1.9873178664016755,1.9873178664016755,1.9873178664016755,1.9873178664016755,1.9873178664016755,0.0,0.0,0.0,263.3847129028851
14,2022-09-22,260.1874114247608,229.1485334721087,290.99577819736726,260.1874114247608,260.1874114247608,0.8919420424987219,0.8919420424987219,0.8919420424987219,0.8919420424987219,0.8919420424987219,0.8919420424987219,0.0,0.0,0.0,261.0793534672595
15,2022-09-23,258.97742781303816,228.52575686176556,289.5441238291375,258.97742781303816,258.97742781303816,1.8047624686734347,1.8047624686734347,1.8047624686734347,1.8047624686734347,1.8047624686734347,1.8047624686734347,0.0,0.0,0.0,260.7821902817116
16,2022-09-26,255.3474769778702,226.15887333817219,289.1086848653122,255.3474769778702,255.3474769778702,3.035293495578448,3.035293495578448,3.035293495578448,3.035293495578448,3.035293495578448,3.035293495578448,0.0,0.0,0.0,258.38277047344866
17,2022-09-27,254.13749336206578,223.24705802336027,287.8503711227608,254.13749336206578,254.13749336206578,1.5820002578883958,1.5820002578883958,1.5820002578883958,1.5820002578883958,1.5820002578883958,1.5820002578883958,0.0,0.0,0.0,255.71949361995416
18,2022-09-28,252.9275097462614,224.5145221283006,286.2841773488341,252.9275097462614,252.9275097462614,1.9873178664023592,1.9873178664023592,1.9873178664023592,1.9873178664023592,1.9873178664023592,1.9873178664023592,0.0,0.0,0.0,254.91482761266374
19,2022-09-29,251.717526130457,220.83427473027308,285.31393525313575,251.717526130457,251.717526130457,0.8919420425014177,0.8919420425014177,0.8919420425014177,0.8919420425014177,0.8919420425014177,0.8919420425014177,0.0,0.0,0.0,252.60946817295843
20,2022-09-30,250.5075425146526,220.29184929750366,284.2910471577336,250.5075425146526,250.5075425146526,1.8047624686863282,1.8047624686863282,1.8047624686863282,1.8047624686863282,1.8047624686863282,1.8047624686863282,0.0,0.0,0.0,252.31230498333895
21,2022-10-03,246.87759166723947,217.4096273612018,281.62358498712365,246.87759166723947,246.87759166723947,3.0352934955765702,3.0352934955765702,3.0352934955765702,3.0352934955765702,3.0352934955765702,3.0352934955765702,0.0,0.0,0.0,249.91288516281605
